source,snapshotStatus,role,groupType,groupValue,rows,modifiedRows,initialRows,modifiedActionShare,distinctAwardCount,modifiedAwardCount,modifiedAwardShare,modificationRowsPerModifiedAward,amount,modifiedAmount,amountWeightedModificationShare,panelAmountShare,panelModifiedAmountShare,knownPiidShare,knownUeiShare,knownCompetitionShare,singleKnownOfferRows,priceOnlyRows,exclusionRows,protestRows,claimBoundary,statusNote
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of the Interior,,,,,,,,,,4383.2916,,,0.0095,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Commerce,,,,,,,,,,3573.2410,,,0.0078,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Agriculture,,,,,,,,,,3438.5513,,,0.0075,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Environmental Protection Agency,,,,,,,,,,1360.7850,,,0.0030,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,awardType composition,awardType,DEFINITIVE CONTRACT,,,,,,,,,,221666.1730,,,0.4809,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,awardType composition,awardType,DELIVERY ORDER,,,,,,,,,,207178.3350,,,0.4494,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,awardType composition,awardType,contract,,,,,,,,,,14631.1968,,,0.0317,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,awardType composition,awardType,BPA CALL,,,,,,,,,,12540.3838,,,0.0272,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,awardType composition,awardType,PURCHASE ORDER,,,,,,,,,,4967.9730,,,0.0108,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,LOCKHEED MARTIN CORPORATION,,,,,,,,,,29369.8706,,,0.0637,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,THE BOEING COMPANY,,,,,,,,,,19196.5136,,,0.0416,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,RAYTHEON COMPANY,,,,,,,,,,11456.5151,,,0.0249,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,NORTHROP GRUMMAN SYSTEMS CORPORATION,,,,,,,,,,10792.4014,,,0.0234,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,ELECTRIC BOAT CORPORATION,,,,,,,,,,8718.8909,,,0.0189,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,HUMANA GOVERNMENT BUSINESS INC,,,,,,,,,,8238.7186,,,0.0179,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,BOOZ ALLEN HAMILTON INC,,,,,,,,,,7260.0294,,,0.0157,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,"LEIDOS, INC.",,,,,,,,,,6484.8597,,,0.0141,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,LOCKHEED MARTIN CORP,,,,,,,,,,5775.3247,,,0.0125,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,,,,,,,,,,5549.1571,,,0.0120,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,"TRIAD NATIONAL SECURITY, LLC",,,,,,,,,,5163.3112,,,0.0112,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,recipient composition,recipient,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",,,,,,,,,,5011.8009,,,0.0109,,,,,,,,top modified-amount group from archived USAspending bulk summary,
sam-contract-awards,unavailable,optional SAM/FPDS-style action panel,source,sam-contract-awards,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"use for SAM/FPDS coding crosswalks, exclusions, offer counts, protests, and firewalls before upgrading procurement modification claims",SAM.gov Contract Awards request failed; mode=1; format=json; filterCount=12; pageSize=100; maxPages=1; offsetPageStarts=0+10+50; fallback=USAspending action rows
usaspending-procurement-actions,derived,agency composition,agency,Department of Defense,2399,615,1784,0.2564,2154,409,0.1899,1.5037,157724.7358,101934.5267,0.6463,0.4609,0.4695,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Veterans Affairs,2386,613,1773,0.2569,2194,446,0.2033,1.3744,55402.1896,12015.8999,0.2169,0.1619,0.0553,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Energy,2316,1422,894,0.6140,1518,665,0.4381,2.1383,46318.9995,45778.4933,0.9883,0.1353,0.2108,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Health and Human Services,2363,1098,1265,0.4647,1926,867,0.4502,1.2664,20212.4494,13943.9964,0.6899,0.0591,0.0642,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,General Services Administration,2397,713,1684,0.2975,1967,300,0.1525,2.3767,15351.3504,12403.1200,0.8079,0.0449,0.0571,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Homeland Security,2374,1208,1166,0.5088,2059,934,0.4536,1.2934,13259.3637,9459.1076,0.7134,0.0387,0.0436,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,National Aeronautics and Space Administration,2331,1343,988,0.5761,1656,702,0.4239,1.9131,11736.2242,11107.8874,0.9465,0.0343,0.0512,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Agriculture,2367,570,1797,0.2408,2277,517,0.2271,1.1025,5949.3572,1573.1292,0.2644,0.0174,0.0072,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of the Interior,2356,944,1412,0.4007,2232,845,0.3786,1.1172,5496.9402,2654.7890,0.4830,0.0161,0.0122,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Transportation,2333,1170,1163,0.5015,1940,827,0.4263,1.4148,5019.5737,3187.9423,0.6351,0.0147,0.0147,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Department of Commerce,2255,1023,1232,0.4537,2038,851,0.4176,1.2021,3960.9260,2342.6584,0.5914,0.0116,0.0108,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,agency composition,agency,Environmental Protection Agency,2227,1147,1080,0.5150,1857,847,0.4561,1.3542,1795.8891,719.7236,0.4008,0.0052,0.0033,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,awardType composition,awardType,DEFINITIVE CONTRACT,4661,3134,1527,0.6724,3070,1613,0.5254,1.9430,177611.0341,141618.5852,0.7974,0.5190,0.6523,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,awardType composition,awardType,DELIVERY ORDER,15011,6337,8674,0.4222,12834,4526,0.3527,1.4001,154939.5102,69815.7503,0.4506,0.4527,0.3216,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,awardType composition,awardType,BPA CALL,3554,1228,2326,0.3455,3157,958,0.3035,1.2818,9055.0266,5410.2117,0.5975,0.0265,0.0249,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,awardType composition,awardType,PURCHASE ORDER,4878,1167,3711,0.2392,4792,1120,0.2337,1.0420,622.4279,276.7266,0.4446,0.0018,0.0013,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,LOCKHEED MARTIN CORPORATION,141,114,27,0.8085,87,65,0.7471,1.7538,27804.6340,17167.9826,0.6175,0.0812,0.0791,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",39,3,36,0.0769,39,3,0.0769,1.0000,20144.3185,0.0000,0.0000,0.0589,0.0000,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,THE BOEING COMPANY,115,90,25,0.7826,48,30,0.6250,3.0000,16249.5051,12497.1401,0.7691,0.0475,0.0576,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,RAYTHEON COMPANY,109,82,27,0.7523,69,46,0.6667,1.7826,10521.6597,5423.8210,0.5155,0.0307,0.0250,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,MCKESSON CORPORATION,21,4,17,0.1905,20,3,0.1500,1.3333,8663.4352,14.9980,0.0017,0.0253,0.0001,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,TRIWEST HEALTHCARE ALLIANCE CORP,23,0,23,0.0000,23,0,0.0000,0.0000,8254.0970,0.0000,0.0000,0.0241,0.0000,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,HUMANA GOVERNMENT BUSINESS INC,16,16,0,1.0000,1,1,1.0000,16.0000,7962.4686,7962.4686,1.0000,0.0233,0.0367,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
usaspending-procurement-actions,derived,recipient composition,recipient,ELECTRIC BOAT CORPORATION,20,18,2,0.9000,6,5,0.8333,3.6000,7393.3821,6933.0722,0.9377,0.0216,0.0319,1.0000,1.0000,0.0000,0,0,0,0,within-panel composition diagnostic; not a representative national procurement modification rate,
