canonicalActorId,actorName,halfYear,periodStart,periodEnd,ldaActivityFilingCount,ldaNativePeriodsPresent,ldaNativePeriodsExpected,ldaNativePeriodFootprint,ldaFilingUuids,ldaExpenseRecords,ldaIncomeRecords,ldaExpenseMethodMissing,ldaApiExpenseMethods,committeeId,pacStatus,pacReasonCodes,candidateContributionsDollars,independentExpendituresDollars,totalDisbursementsDollars,pacSourceRecordIds,pairedSourcePresence,provisionExposure,interpretation
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2008H1,2008-01-01,2008-06-30,4,2,2,present,52179605-54cc-4c8c-bd50-3e0e8f29829f;727378e9-832b-4166-a15c-b5cb99ac1745;810962fe-5fe4-47b3-8cea-3e822d961a29;b06808d1-7bfe-4157-a1d6-accc60482574,2,1,0,A,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2008H2,2008-07-01,2008-12-31,5,2,2,present,0059d5b4-2ab6-4d9f-97b5-30fe7d9e1d21;016d38d6-def3-4035-ba77-330dc398c5f2;2d458866-9560-449d-b1a5-2a6a4c5d73b7;41dbf8a1-f626-4a1a-9da4-dd9c06b39b4d;a2f07ff3-5b62-45a2-a2a7-070cbeab48a4,3,2,0,A,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2003H1,2003-01-01,2003-06-30,3,1,1,present,0d75a1d0-7f2b-4d50-a5c0-d51289935e63;6089f3b9-4642-4e84-8b23-0d4ad915c0c4;7c0c36af-cf9e-492b-a384-ccf3f8fc82a8,1,2,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2003H2,2003-07-01,2003-12-31,3,1,1,present,00a1d420-2f04-4ab3-ad58-f53d935bbb7d;4179386f-fdef-4d51-ae21-b1e3921f156c;caacf53e-de2f-48aa-ba48-f0ced727c6df,0,2,0,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2004H1,2004-01-01,2004-06-30,3,1,1,present,12aa12aa-7593-44f2-ae3e-8485cea4c657;1ab94ade-eeaf-4907-ae50-ed105c3fd66b;f04b09e0-6640-4f9b-b494-ac8dc6ef3f08,1,2,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2004H2,2004-07-01,2004-12-31,4,1,1,present,2acb291e-94d6-4287-92db-aaf382f295ca;339e014f-bc90-400f-b008-92c3e9947985;59aac726-b042-4288-8c75-44b953cbf7ec;6b9c7b38-f13e-4b74-b3fc-82f877aed13d,1,3,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2005H1,2005-01-01,2005-06-30,3,1,1,present,0b2d2c1e-1895-45f1-bfef-39c8981dad41;94019fea-e171-438b-8046-89fce3e8e2a8;ebb2e32d-6728-4b04-a558-354418fb1e46,1,1,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2005H2,2005-07-01,2005-12-31,3,1,1,present,7dba6b1c-f74b-4bbb-a21f-a5b7ade61bea;90721ca8-43c0-4546-9dd0-416f20073363;fd807978-b040-4366-9f57-69e03bdac006,1,2,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2006H1,2006-01-01,2006-06-30,4,1,1,present,3edb927b-d65d-4773-9d40-71c0289631cc;539cad25-3f00-4f59-80d3-ce2f9e1dc6e0;6b9413c2-5037-4766-8a86-3715c3a99d28;fb5f17e6-5fb5-4edb-9d2e-57fa7cef4c03,1,3,1,,C00153171,unresolved,source_period_conflict;gap_or_overlap,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2006H2,2006-07-01,2006-12-31,3,1,1,present,611c3d48-63b1-4736-afab-3c311fa30356;a573ad87-76e5-4807-93fe-966a7054bb70;b33eabd2-fef1-43e8-8dec-0d35a0e7402c,1,1,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2007H1,2007-01-01,2007-06-30,4,1,1,present,507f8b76-3d9f-4249-900e-b4aba2e949b4;68d944bb-b5fb-4507-8e84-6a9c1e809405;926def77-0b25-4c30-b4c7-6c4d4c89e98a;a6af508e-e923-4b7b-aa9d-3ade4ac56137,1,2,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2007H2,2007-07-01,2007-12-31,3,1,1,present,1deb76ec-7f20-4460-bec8-5f6cdd6f2fb2;d8771db3-3a97-4e53-906f-9cd5c833dd26;e72cf48c-dc98-4e86-9b9b-6162db85dd9a,1,2,1,,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2008H1,2008-01-01,2008-06-30,6,2,2,present,5eba3c25-9261-4abe-8c36-0ba47d52eb7c;6dfad611-0287-4a71-b833-278e58764683;76489a5e-0d3d-4cf7-8270-12f492d3ac0e;9eeb4a62-99eb-4c8d-a874-6ad89f05ea8e;b32186fd-1c20-4057-94e9-acf30c84b0d9;f652cbf6-dc20-41d3-b1e0-296e5be18034,2,4,0,C,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,2008H2,2008-07-01,2008-12-31,6,2,2,present,16e73a0a-94ed-4a11-aacc-96966a2e5bbe;1707ca1c-fbd3-4cb7-911a-be39ace6da4a;289df83c-7936-4fa3-ab57-a6ecce5f20af;4058b09c-c7cb-4a27-89e2-90aeefd970ee;416f2496-5ab7-425a-961f-73772b030c08;5fbe6da4-fc09-460b-922d-8748845ca41c,2,4,0,C,C00153171,unresolved,missing_outcome,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2003H1,2003-01-01,2003-06-30,1,1,1,present,af25ead8-a340-4e1f-826d-ba8ec844f91a,1,0,1,,C00340356,observed_complete,,57301.09,0.00,58301.09,file:91467,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2003H2,2003-07-01,2003-12-31,1,1,1,present,864e67e6-3031-4514-9086-76ad47be7af3,1,0,1,,C00340356,observed_complete,,22525.38,0.00,22525.38,file:106082,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2004H1,2004-01-01,2004-06-30,1,1,1,present,76e4710b-3b8d-4088-b5e3-83e8d211e0ee,1,0,1,,C00340356,observed_complete,,57111.26,0.00,57111.26,file:118052;file:125881,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2004H2,2004-07-01,2004-12-31,2,1,1,present,20060b24-e0d8-4309-bd42-9929e80622ed;df9f4771-6121-4f8d-99d8-8b8b22c8b999,1,1,1,,C00340356,observed_complete,,24390.01,0.00,32110.01,file:138342;file:145221;file:152397;file:421904,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2005H1,2005-01-01,2005-06-30,2,1,1,present,7a5b470c-6f9e-46e3-9f3d-6ef699087948;7f91fba6-78f6-47d4-bc31-95f87c50094c,1,1,1,,C00340356,observed_complete,,44362.14,0.00,44852.14,file:431427,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2005H2,2005-07-01,2005-12-31,2,1,1,present,f21f3431-5221-4f86-81b4-1f5278c7ddf4;fe697090-810b-4bf2-9481-0fddd479fadf,1,1,1,,C00340356,observed_complete,,65000.00,0.00,65460.80,file:437044,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2006H1,2006-01-01,2006-06-30,3,1,1,present,0fc32374-bb74-47ce-a31b-6584d054bf06;36641105-37a5-4fe8-be85-37ee204cad9f;5b1a21f1-7f95-45c9-8b06-dbc6395bc043,1,2,1,,C00340356,observed_complete,,65165.00,0.00,66058.00,file:439424;file:471405,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2006H2,2006-07-01,2006-12-31,3,1,1,present,1dfd5f19-bb7c-44ca-b1ff-e1cbd1e512af;6b50a74b-f8e5-46e2-ba8e-6f06c4442acf;c81c16a8-5776-46e2-8763-3f14e18ca831,1,2,1,,C00340356,observed_complete,,49972.60,0.00,50342.60,file:471411;file:471414;file:471420;file:471425,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2007H1,2007-01-01,2007-06-30,4,1,1,present,225a98b3-0430-4eb8-b7e6-6197ef2c7103;3c6ee377-9add-413c-bc75-990d70efebda;4b2544ae-3b74-42a3-991e-4d81511271c5;60b69359-763e-4339-9a39-fabd39232415,1,3,1,,C00340356,observed_complete,,47115.30,0.00,48850.30,file:299068,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2007H2,2007-07-01,2007-12-31,5,1,1,present,189029b3-8c94-4537-98a5-c0e9ac16acca;1b9d4444-1c78-4a89-acdd-8ed4597d72c6;2ee78b37-6841-4399-88a2-5c68c873bce2;41307b37-3c34-4810-98d0-2c4f8731d114;64c3c987-8b70-4110-bb91-44c5c269f699,1,4,1,,C00340356,observed_complete,,61994.61,0.00,62399.61,file:318695,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2008H1,2008-01-01,2008-06-30,9,2,2,present,0af08264-57ac-426d-9f60-65b4db071a1a;14d71cda-936d-44a9-8181-67471fe7c1b5;30dde8c4-3cb3-4e78-a112-d58e9f41f1e3;685152c3-01af-4b8d-aae8-d89dd3c457da;71ba6298-4703-421e-93ee-6f5afccb0aa4;8c55c270-ecfa-4a83-86e1-9cdbe405996f;d2472c86-9975-4ad3-9d71-cd7b88237dc3;d3630f1d-c811-48c8-9882-17138ae8754c;ec17ae11-6020-4989-9b73-25fb21bb9bae,3,5,0,C,C00340356,observed_complete,,43640.36,0.00,43915.36,file:330376;file:341778;file:349764,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2008H2,2008-07-01,2008-12-31,8,2,2,present,30e69378-d2b3-4942-8a32-9705ea30aefe;457b5243-da9c-422e-a7ae-925b0b987089;45918aa3-f5fa-4c15-9eb8-0ad84ef479ab;542e1594-c86c-4075-afa5-f4761d38e4d6;83ec14fa-1c25-4069-8ede-8c3d54542f80;b4e53427-0ecd-42bb-afbf-6ab09e266b57;d37402b1-a686-4637-844c-c6062c4caa28;fa3fc972-b109-4f45-bb6a-b07df99a7d04,2,4,0,C,C00340356,observed_complete,,43243.45,0.00,43243.45,file:355655;file:368571;file:373740;file:388154;file:399891,true,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2003H1,2003-01-01,2003-06-30,8,1,1,present,0540288d-9da6-4e64-89d6-4c840a72ee8a;0f36b9cd-a6f0-40fe-b245-c61bfae7e000;1c4e8c2b-bf8d-4db1-a12e-a6344521f3f8;62bbdf49-34e9-4f59-8a0a-2f82511a1b20;766d266b-e465-4f58-8574-190629561408;9da83752-411d-447a-9764-7aaf983676cc;a5ecbb83-2060-49bf-bd05-f1fcced0d0de;b2032b00-19d6-4391-a4f0-c2581f4e9816,1,7,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2003H2,2003-07-01,2003-12-31,9,1,1,present,016b668a-6d6f-42ae-bed8-475b32cbbac8;051443f6-34ce-4967-a771-9459d397d9cd;0785b63f-9c34-404c-a898-7d15efd6eb25;69c6eca7-4004-4791-a774-711886f7058d;7f0e96ed-5cff-4152-b77c-f8dfc442261f;be173d2c-6097-4c8e-966b-b9376845a367;dd030878-e9b4-495e-af72-cf8cfde97a9f;ecc3cdec-f10b-410b-8f0a-77b9177e1345;f0a758b3-2d85-4d8e-8cf0-a2a7cfcfa786,1,8,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2004H1,2004-01-01,2004-06-30,8,1,1,present,721163da-1b0c-4f99-8922-be6616fb699c;7a310f1d-c882-4dcc-bbea-f827ef3a526a;99d6c6ba-a163-4df8-9110-f71139c09a9f;a62168d6-60e4-44d1-916c-98af89f87400;bdc45fd5-f32a-400a-91e7-16677a32b7a4;caaaf256-825a-47da-80cc-4b3a2f05448e;d4378920-bb63-426d-bb21-650a1de64eac;eb0cac02-9822-4294-8a6f-d41f1d756863,1,7,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2004H2,2004-07-01,2004-12-31,8,1,1,present,04a07044-492f-401a-a6d1-cd9e2014d34d;07003e00-2939-4b41-a48e-3ceacae5392f;0ab2e2cc-50ac-4c51-a693-2337a74ad2ea;1f890721-fbb2-4eb5-ac9e-6ea4ccca6d57;4fb43c58-9f39-424f-a9ca-15c3292a393c;8bf9ca8e-9540-4522-b3e5-c2761a216f9f;96780ee1-b77b-41a1-b362-b8f750361e62;a93a23e5-9da2-4c18-8625-b41fc0987d06,1,7,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2005H1,2005-01-01,2005-06-30,11,1,1,present,0c3ab1a3-56de-4d30-9ea9-0222ea4c056d;1da0278f-e114-450f-81d1-cfe4994fe35a;5808143e-957a-47ab-a30f-71325433b34d;5868aa98-2458-457a-ac8a-b36825c2e9f3;840aa7e5-4b9f-46fa-bd3c-2707b90607e8;9fd40f7b-9904-4d58-a67e-1c992df2657f;bec3f91e-745f-4ad4-b0a3-a8d62f424296;c2d3bdf2-ad5b-4a4c-bfca-f65465c90dce;ccc82df5-99ef-4fa0-89c3-cc25ea597a15;d3ac1fee-8350-4b1e-92f8-804de323d5df;e373e7d3-705b-4b13-9e63-8985e9e4b3dc,1,9,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2005H2,2005-07-01,2005-12-31,11,1,1,present,1b7032ce-24d7-4105-ab95-f682e65d08be;1f6b396a-00d1-4ad6-a07e-5bfb7f2b7f1e;372b6cc7-2d26-4670-83a2-cdea0637d30b;38bca06c-e6eb-48ce-afcd-4b440df8c313;9073e8fb-41d3-410d-952c-11e37f7f8584;950821c8-110b-4d6b-bdc6-21909d6b2a7b;ad7211e0-80d7-47e0-b86c-a86237d9cdf2;c44ef8b7-3dc6-4891-957a-9ea082b54456;ce85e9ba-af41-44a4-a678-bae3e7d336d6;d4ea9cba-c5db-433c-8ab8-2b3ea4bbd43f;ea3f2922-1f66-404a-87ff-8e6722e5de72,1,10,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2006H1,2006-01-01,2006-06-30,13,1,1,present,03133e98-4c56-4c3c-b6a7-47d45fd74941;0bfdf84f-0be1-4a32-a103-bdc6c94ad831;1832d2c0-0177-4e49-bc9f-3f99d0e19ef0;2afed07e-2586-4ee2-bfb2-14727fb2f1fa;39e8eb8e-0082-4b43-99d3-ff0779f30c77;4910cd4a-adee-42ef-86dc-671fffd2f859;4cb24a58-4a01-4a1b-a848-55ce7c333905;6161a459-d8b3-4b06-995d-b871ac13a7c6;765ce082-0974-4f9d-9de3-3e952db3fc61;80608e7b-6760-4523-bf76-7a8d251a8b93;9d53ec34-e3a7-4ade-b751-f4a0902dc8d9;ab871615-fb04-447d-bcf4-8c9698b3f0f2;fb6f5926-965c-4ccc-a524-a29f2f8e934f,1,12,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2006H2,2006-07-01,2006-12-31,11,1,1,present,058bbcfd-088f-4fba-8c08-4e9ca16b5c29;24513497-45a3-4950-aef4-3524f0cfe93e;338565d0-c8e1-4bfb-9bbd-ca123639e043;68efdcdb-de74-4cce-83a5-1707f25e3671;a31e7137-64f5-4a42-b22f-ef23ee489e0d;b119070d-05a5-408f-8d1d-affd4e4ac652;c3ecafda-a42e-4400-acbb-e69dad5d6659;ce248d85-a3bc-4e28-93a9-0b06ef25b2dd;d15c3d2c-91dc-49c1-8bc6-56eb65665a90;dde6b96b-c14c-465c-983b-d29275d0f669;e9495690-918f-42f4-b3f1-32c9959dad26,1,8,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2007H1,2007-01-01,2007-06-30,10,1,1,present,0d03c86d-c646-412c-8194-ff287c1cf0b9;0d700a7e-9e1f-44c9-9804-212d86089ce5;128bd9f7-af7b-433b-8a91-041ba40a5ac9;22bd9946-57bb-4ae3-965e-8a00670aea9e;6583208c-5318-45f0-ae59-d2086d1656d9;b4e937d6-0413-473d-b37b-452c25adda34;d91f2e09-4c80-4f73-9e58-31b377588c3d;e5e1c8aa-f19e-4e38-8b07-44e39d2f4f56;ed786912-dbf8-4895-8692-1ce4aa836908;f22e4afb-7760-4f90-819f-febcdc56801d,1,7,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2007H2,2007-07-01,2007-12-31,19,1,1,present,0227e08b-4ba4-4bac-b82f-87d66a53b427;1baefdae-d431-49a6-9019-4a50700c403b;3e80ef8a-c5f6-4845-adec-dd4e7fddb8f9;6bc6fab8-8a40-4388-9eae-25a7feb8929e;72c823d6-ded0-46e8-ab3f-63f68432132b;74151b73-e354-42ac-b538-ed0a6221649d;741b8f13-6cad-4025-b2dc-9b3b6962e857;7657450c-1f57-452e-b577-9395a5810488;79f0989d-a6e6-41dd-8876-24f2b2d9ed23;7a8af513-7df5-430e-bf04-072ae7838daa;875efcea-f799-4fe9-a9db-6a17936abaa6;9a6f4c1e-dd70-49c1-b85c-9fd7fc75e943;a15cab04-9170-40b9-a6f5-e650c0ec4fba;b3c8e231-1bd8-4c64-bcd4-5b77c4d3b0a7;c9e9700e-82d8-48c4-a993-9fb860a6d6c1;d29f0361-c377-4797-a5c1-0d747e6ae107;e4b8acc6-030a-4daa-9d4c-793df5edd287;f31904b0-4269-4f03-9464-6e7aa68b9b83;f38d2543-0ffe-4750-aa11-a98682af8312,2,11,2,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-b905d6833296,American Petroleum Institute,2008H1,2008-01-01,2008-06-30,19,2,2,present,0855c964-befe-4365-a17a-cee08c86d208;24e8c780-424e-44f3-aa7f-bc5297d6da13;2af248a6-1ed1-41d0-b68b-4eef5a89d4e7;4c5f0815-21c4-4b8f-8083-a9a75991cf9c;587e7c9e-ee46-4d2f-af0e-e32be9a2f4c4;68d8e362-d294-423e-89da-e7e06bb1b487;9b7ad1cf-7de9-48d1-8afb-f7c075d23a4a;a5986d64-39e1-4134-94bf-654b0189dfdb;aa43de45-639a-423c-873c-fefcc6f3ffb8;b20e48fd-fdee-43a4-b249-059efdada104;b63b83a6-be70-4506-ba9e-55c62e582360;b99d88ea-437b-4b0c-9358-0c54712a129e;bc0f161c-4d81-4a0b-a877-dc8d94e02cd1;c0635c84-ce68-47a0-bc17-6f91b4f6fcfc;c0b5cd58-f92e-4ae5-9f2d-fcfb3f3f899d;daba5fb4-a5d3-4d13-b66c-cc68bd9ab945;e68d601f-893b-484b-b332-fb7cb6e321b5;f1bd6c60-b700-4500-81da-d23581e76424;fbfa4cb3-7b3f-4ff5-bb90-659ace0652f0,2,14,0,A,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
