candidateActorId,normalizedName,displayName,sourceSystemCount,sourceSystems,venueCount,venues,candidateType,sourceRecordCount,issueDomains,totalActivityAmount,sourceRecordSamples,candidateUse,reviewAction,claimBoundary
cand-463d4e66d5b6,KLEIN JOHNSON GROUP,KLEIN/JOHNSON GROUP,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,16,energy,5.1000,LDA:lda-lobbying.csv:row-66:registrant | LDA revolving-door proxy:revolving-door.csv:b3f37d35-3b2a-4748-87f0-f9ca1dfda02c:organization | LDA revolving-door proxy:revolving-door.csv:b3f37d35-3b2a-4748-87f0-f9ca1dfda02c:organization | LDA revolving-door proxy:revolving-door.csv:b3f37d35-3b2a-4748-87f0-f9ca1dfda02c:organization | LDA revolving-door proxy:revolving-door.csv:b3f37d35-3b2a-4748-87f0-f9ca1dfda02c:organization | LDA revolving-door proxy:revolving-door.csv:b3f37d35-3b2a-4748-87f0-f9ca1dfda02c:organization | LDA revolving-door proxy:revolving-door.csv:e42d8df2-b31a-412a-b7e8-126a0aec3d8e:organization | LDA revolving-door proxy:revolving-door.csv:e42d8df2-b31a-412a-b7e8-126a0aec3d8e:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-6309dcdb883f,INVARIANT,INVARIANT LLC,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,18,energy; finance,4.7600,LDA:lda-lobbying.csv:row-54:registrant | LDA:lda-lobbying.csv:row-55:registrant | LDA:lda-lobbying.csv:row-73:registrant | LDA:lda-lobbying.csv:row-81:registrant | LDA revolving-door proxy:revolving-door.csv:eb66d5d2-b0df-4232-9de1-c6adc6d7864b:organization | LDA revolving-door proxy:revolving-door.csv:eb66d5d2-b0df-4232-9de1-c6adc6d7864b:organization | LDA revolving-door proxy:revolving-door.csv:eb66d5d2-b0df-4232-9de1-c6adc6d7864b:organization | LDA revolving-door proxy:revolving-door.csv:eb66d5d2-b0df-4232-9de1-c6adc6d7864b:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-bae5f26f5a7f,COASTAL STATES STEWARDSHIP FOUNDATION,COASTAL STATES STEWARDSHIP FOUNDATION,2,Intermediary bridge; USAspending agency actions,2,intermediary; procurement,cross_venue,2,energy; procurement,4.0199,Intermediary bridge:intermediaries.csv:202790697:organization | USAspending agency actions:usaspending-procurement-actions.csv:140M0124C0010|140M0124C0010|XBQ8WRXR63P8:recipient,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-c622a81fd3af,ALPINE GROUP PARTNERS,"ALPINE GROUP PARTNERS, LLC.",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,11,energy,3.4000,LDA:lda-lobbying.csv:row-92:registrant | LDA revolving-door proxy:revolving-door.csv:bff7d426-ee7e-4423-8dc7-7d63b437ccd6:organization | LDA revolving-door proxy:revolving-door.csv:bff7d426-ee7e-4423-8dc7-7d63b437ccd6:organization | LDA revolving-door proxy:revolving-door.csv:bff7d426-ee7e-4423-8dc7-7d63b437ccd6:organization | LDA revolving-door proxy:revolving-door.csv:bff7d426-ee7e-4423-8dc7-7d63b437ccd6:organization | LDA revolving-door proxy:revolving-door.csv:bff7d426-ee7e-4423-8dc7-7d63b437ccd6:organization | LDA revolving-door proxy:revolving-door.csv:fbcf457f-b378-4eba-b4b7-41d502b87d0d:organization | LDA revolving-door proxy:revolving-door.csv:fbcf457f-b378-4eba-b4b7-41d502b87d0d:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-38a4bec2e968,CORNERSTONE GOVERNMENT AFFAIRS,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,12,energy; finance,3.4000,LDA:lda-lobbying.csv:row-38:registrant | LDA:lda-lobbying.csv:row-39:registrant | LDA revolving-door proxy:revolving-door.csv:e5a3f23f-1f3d-47c9-8264-55d10304034b:organization | LDA revolving-door proxy:revolving-door.csv:8ef6415b-6201-41e6-82ea-7c9968e0a583:organization | LDA revolving-door proxy:revolving-door.csv:8ef6415b-6201-41e6-82ea-7c9968e0a583:organization | LDA revolving-door proxy:revolving-door.csv:8ef6415b-6201-41e6-82ea-7c9968e0a583:organization | LDA revolving-door proxy:revolving-door.csv:a02d38f3-ee41-4639-8cd6-d7f1711e816f:organization | LDA revolving-door proxy:revolving-door.csv:e469847b-cd64-4357-b276-68156c820e75:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-3eae47ba934b,THORN RUN PARTNERS,THORN RUN PARTNERS,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,10,energy,3.0600,LDA:lda-lobbying.csv:row-12:registrant | LDA revolving-door proxy:revolving-door.csv:f33e8b75-5958-4b1e-9a40-ad84ac7edfb8:organization | LDA revolving-door proxy:revolving-door.csv:f33e8b75-5958-4b1e-9a40-ad84ac7edfb8:organization | LDA revolving-door proxy:revolving-door.csv:7ddc9cfe-bdcc-4491-bfbe-dd3ef9e1c469:organization | LDA revolving-door proxy:revolving-door.csv:7ddc9cfe-bdcc-4491-bfbe-dd3ef9e1c469:organization | LDA revolving-door proxy:revolving-door.csv:9fe5d142-0853-4f97-85a0-e001e4c0ddda:organization | LDA revolving-door proxy:revolving-door.csv:6b684334-7cd9-4217-af42-0464419b17cd:organization | LDA revolving-door proxy:revolving-door.csv:0ea98853-9a21-419d-82c7-bcec7fa3895e:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-81f6b7aa7e13,CREDIT UNION NATIONAL ASSOCIATION,CREDIT UNION NATIONAL ASSOCIATION INC,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,finance,2.4939,IRS/ProPublica dark-money bridge:dark-money.csv:237065623:source | Intermediary bridge:intermediaries.csv:237065623:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-91ca3975167f,EDISON ELECTRIC INSTITUTE,EDISON ELECTRIC INSTITUTE,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,energy,2.4437,IRS/ProPublica dark-money bridge:dark-money.csv:130659550:source | Intermediary bridge:intermediaries.csv:130659550:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-aa2abd728478,K L GATES,"K&L GATES, LLP",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,10,energy; finance,2.3800,LDA:lda-lobbying.csv:row-16:registrant | LDA:lda-lobbying.csv:row-17:registrant | LDA:lda-lobbying.csv:row-67:registrant | LDA revolving-door proxy:revolving-door.csv:bba4d0f6-f2cb-474b-9292-94c2704f1e79:organization | LDA revolving-door proxy:revolving-door.csv:0a6e794d-abb6-4d73-9ec1-3d4321c73574:organization | LDA revolving-door proxy:revolving-door.csv:0a6e794d-abb6-4d73-9ec1-3d4321c73574:organization | LDA revolving-door proxy:revolving-door.csv:90feccf5-9a8d-42e2-bc7f-a3db7e6470a5:organization | LDA revolving-door proxy:revolving-door.csv:90feccf5-9a8d-42e2-bc7f-a3db7e6470a5:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-2c5ecdca3e87,MERCURY PUBLIC AFFAIRS,"MERCURY PUBLIC AFFAIRS, LLC",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,9,energy,2.3800,LDA:lda-lobbying.csv:row-11:registrant | LDA:lda-lobbying.csv:row-93:registrant | LDA revolving-door proxy:revolving-door.csv:8da6367a-3b3b-459a-a7cb-39716ccf21f9:organization | LDA revolving-door proxy:revolving-door.csv:367f7044-653d-4e36-a21c-ce8c9e905bb9:organization | LDA revolving-door proxy:revolving-door.csv:8c6c5eb2-2143-4285-8ca1-300a1f29a753:organization | LDA revolving-door proxy:revolving-door.csv:7e20e0c0-8032-481e-9ca5-e7150761bff0:organization | LDA revolving-door proxy:revolving-door.csv:41eb6779-c274-421d-a8ac-4f51f5b023f8:organization | LDA revolving-door proxy:revolving-door.csv:41eb6779-c274-421d-a8ac-4f51f5b023f8:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-4aefcd7c7ba9,CGCN GROUP,"CGCN GROUP, LLC",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,10,energy; finance,2.0400,LDA:lda-lobbying.csv:row-44:registrant | LDA:lda-lobbying.csv:row-83:registrant | LDA:lda-lobbying.csv:row-119:registrant | LDA:lda-lobbying.csv:row-120:registrant | LDA revolving-door proxy:revolving-door.csv:633228fa-a29a-447e-81fb-9a44df19871a:organization | LDA revolving-door proxy:revolving-door.csv:633228fa-a29a-447e-81fb-9a44df19871a:organization | LDA revolving-door proxy:revolving-door.csv:633228fa-a29a-447e-81fb-9a44df19871a:organization | LDA revolving-door proxy:revolving-door.csv:633228fa-a29a-447e-81fb-9a44df19871a:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-40b95e3fa1e4,GRAYROBINSON PA,GRAYROBINSON PA,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,7,energy,2.0400,LDA:lda-lobbying.csv:row-84:registrant | LDA revolving-door proxy:revolving-door.csv:758cf56a-e0b0-4e13-b798-7b62e02a6f83:organization | LDA revolving-door proxy:revolving-door.csv:758cf56a-e0b0-4e13-b798-7b62e02a6f83:organization | LDA revolving-door proxy:revolving-door.csv:fccd1ddc-5032-4a25-803a-b5eed42c74df:organization | LDA revolving-door proxy:revolving-door.csv:fccd1ddc-5032-4a25-803a-b5eed42c74df:organization | LDA revolving-door proxy:revolving-door.csv:fccd1ddc-5032-4a25-803a-b5eed42c74df:organization | LDA revolving-door proxy:revolving-door.csv:72b721d0-b9b3-462b-a021-8b3bc5379af4:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-42ee0d4c22b9,INVESTMENT INSTITUTE,INVESTMENT COMPANY INSTITUTE,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,energy,1.9961,IRS/ProPublica dark-money bridge:dark-money.csv:135266605:source | Intermediary bridge:intermediaries.csv:135266605:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-d4262e54f05c,CENTER FOR VOTER INFORMATION,CENTER FOR VOTER INFORMATION,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,3,energy,1.7604,IRS/ProPublica dark-money bridge:dark-money.csv:030554750:source | IRS/ProPublica dark-money bridge:dark-money.csv:275278038-2024-12-01-schedule-i-8:recipient | Intermediary bridge:intermediaries.csv:030554750:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-e698f7065ba5,FGS GLOBAL US FKA FGH HOLDINGS,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,6,energy,1.7000,LDA:lda-lobbying.csv:row-121:registrant | LDA revolving-door proxy:revolving-door.csv:d0e9a515-c7fe-46b6-ba40-7ccef828c179:organization | LDA revolving-door proxy:revolving-door.csv:d0e9a515-c7fe-46b6-ba40-7ccef828c179:organization | LDA revolving-door proxy:revolving-door.csv:d0e9a515-c7fe-46b6-ba40-7ccef828c179:organization | LDA revolving-door proxy:revolving-door.csv:d0e9a515-c7fe-46b6-ba40-7ccef828c179:organization | LDA revolving-door proxy:revolving-door.csv:d0e9a515-c7fe-46b6-ba40-7ccef828c179:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-972301852f3d,NATIONAL ASSOCIATION MANUFACTURERS USA,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE USA,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,energy,1.4811,IRS/ProPublica dark-money bridge:dark-money.csv:131084330:source | Intermediary bridge:intermediaries.csv:131084330:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-e01d25306095,PLASTICS INDUSTRY ASSOCIATION,PLASTICS INDUSTRY ASSOCIATION INC,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,energy,1.4061,IRS/ProPublica dark-money bridge:dark-money.csv:131325282:source | Intermediary bridge:intermediaries.csv:131325282:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-461e4fef8c4d,AMERICAN BANKERS ASSOCIATION,American Bankers Association,2,IRS/ProPublica dark-money bridge; OpenFEC,2,electoral_money; opaque_nonprofit_or_dark_money,cross_venue,10,finance,1.3609,OpenFEC:fec-campaign-finance.csv:4103020241015095001:source | OpenFEC:fec-campaign-finance.csv:4030120241877908000:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304-2024-08-01-schedule-i-1:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304-2024-08-01-schedule-i-3:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304-2024-08-01-schedule-i-2:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304-2024-08-01-schedule-i-4:source | IRS/ProPublica dark-money bridge:dark-money.csv:521001304-2024-08-01-schedule-i-5:source,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-df8025bd7647,BOUNDARY STONE PARTNERS,BOUNDARY STONE PARTNERS,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,5,energy,1.3600,LDA:lda-lobbying.csv:row-7:registrant | LDA revolving-door proxy:revolving-door.csv:215f28f4-cf19-43c2-a69a-d8cf92f8411f:organization | LDA revolving-door proxy:revolving-door.csv:78dabdf6-05f9-4156-a7b3-30637fce32b1:organization | LDA revolving-door proxy:revolving-door.csv:33544498-4c5e-460a-8c51-239770c024cf:organization | LDA revolving-door proxy:revolving-door.csv:33544498-4c5e-460a-8c51-239770c024cf:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
